company_id,type,rule_id,text,confidence_pct
ADANIENT,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,100
ADANIENT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,83
ADANIENT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,68
ADANIENT,con,C0,Adani Enterprises Ltd warrants continued monitoring against sector benchmarks for margin and leverage trends,62
ADANIGREEN,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,100
ADANIGREEN,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,95
ADANIGREEN,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ADANIGREEN,pro,P3,Debt-free balance sheet provides financial flexibility and eliminates interest burden,80
ADANIGREEN,con,C20,Operating margin slipped to 10.2% from 29.0% a year earlier,60
ADANIPORTS,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,92
ADANIPORTS,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,70
ADANIPORTS,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,69
ADANIPORTS,con,C19,Debt-to-equity of 0.59 is manageable but worth monitoring against sector peers,60
ADANIPOWER,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value,100
ADANIPOWER,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
ADANIPOWER,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,93
ADANIPOWER,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,70
ADANIPOWER,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,68
ADANIPOWER,con,C3,Operating margins declining for 3 consecutive years suggest pricing or cost pressure,68
ADANIPOWER,con,C15,Debt-to-equity of 1.07 is moderate; further leverage increases should be evaluated carefully,62
ADANIPOWER,con,C20,Operating margin slipped to 15.1% from 26.6% a year earlier,60
ATGL,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,74
ATGL,con,C11,Net debt exceeding 3.2 times EBITDA is a high leverage ratio and limits financial flexibility,72
ATGL,con,C13,Return on capital employed at 11.9% is in the moderate range — worth tracking for further improvement,62
ATGL,con,C15,Debt-to-equity of 1.58 is moderate; further leverage increases should be evaluated carefully,62
ATGL,con,C18,"Free cash flow was negative in the latest year, reflecting elevated capex or working-capital needs",61
APOLLOHOSP,pro,P1,Consistently high return on equity above 20% demonstrates exceptional capital efficiency,100
APOLLOHOSP,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,100
APOLLOHOSP,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,73
APOLLOHOSP,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,70
APOLLOHOSP,con,C15,Debt-to-equity of 1.60 is moderate; further leverage increases should be evaluated carefully,62
APOLLOHOSP,con,C20,Operating margin slipped to 15.6% from 31.7% a year earlier,60
ASIANPAINT,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,100
ASIANPAINT,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value,99
ASIANPAINT,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,92
ASIANPAINT,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,86
ASIANPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
ASIANPAINT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,75
ASIANPAINT,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
ASIANPAINT,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,70
ASIANPAINT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,69
ASIANPAINT,con,C0,Asian Paints Ltd warrants continued monitoring against sector benchmarks for margin and leverage trends,62
DMART,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
DMART,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,73
DMART,con,C10,Return on capital employed below 10% suggests the business is not generating sufficient returns on invested capital,77
DMART,con,C1,Debt-to-equity ratio of 2.19 is elevated for a non-financial company and warrants monitoring,72
DMART,con,C11,Net debt exceeding 3.1 times EBITDA is a high leverage ratio and limits financial flexibility,71
DMART,con,C16,Five-year revenue CAGR of 7.0% is in line with nominal GDP growth — no strong momentum yet,61
DMART,con,C20,Operating margin slipped to 13.3% from 31.9% a year earlier,60
AXISBANK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
AXISBANK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,88
AXISBANK,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value,87
AXISBANK,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,70
AXISBANK,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,70
AXISBANK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,68
AXISBANK,con,C0,Axis Bank Ltd warrants continued monitoring against sector benchmarks for margin and leverage trends,62
BAJAJ-AUTO,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,100
BAJAJ-AUTO,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BAJAJ-AUTO,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BAJAJ-AUTO,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value,95
BAJAJ-AUTO,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,86
BAJAJ-AUTO,con,C20,Operating margin slipped to 24.9% from 28.4% a year earlier,60
BAJFINANCE,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value,100
BAJFINANCE,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BAJFINANCE,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BAJFINANCE,con,C18,"Free cash flow was negative in the latest year, reflecting elevated capex or working-capital needs",61
BAJFINANCE,con,C20,Operating margin slipped to 23.4% from 29.2% a year earlier,60
BAJAJFINSV,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,81
BAJAJFINSV,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,73
BAJAJFINSV,pro,P10,Return on equity improving for 3 consecutive years shows strengthening business quality,70
BAJAJFINSV,con,C0,Five-year revenue CAGR of 5.6% is in line with nominal GDP growth— no strong momentum yet,62
BAJAJHLDNG,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,78
BAJAJHLDNG,con,C18,"Free cash flow was negative in the latest year, reflecting elevated capex or working-capital needs",61
BANDHANBNK,pro,P6,Net profit compounding above 20% over 5 years creates significant shareholder value,100
BANDHANBNK,pro,P9,Earnings per share growing above 15% CAGR indicates strong earnings quality and compounding,100
BANDHANBNK,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,100
BANDHANBNK,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BANDHANBNK,pro,P5,Operating profit margin above 25% indicates strong pricing power and cost discipline,74
BANDHANBNK,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,71
BANDHANBNK,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,67
BANDHANBNK,con,C13,Return on capital employed at 12.2% is in the moderate range — worth tracking for further improvement,62
BANKBARODA,pro,P7,Very high interest coverage ratio reflects negligible financial stress from debt servicing,89
BANKBARODA,pro,P11,Revenue growing slower than profits shows improving operating leverage and scale benefits,65
BANKBARODA,con,C13,Return on capital employed at 13.1% is in the moderate range — worth tracking for further improvement,62
BANKBARODA,con,C16,Five-year profit CAGR of 6.2% is in line with nominal GDP growth — no strong momentum yet,61
BANKBARODA,con,C20,Operating margin slipped to 19.1% from 34.5% a year earlier,60
BERGEPAINT,pro,P2,Strong free cash flow generation over 5 years signals healthy business fundamentals,82
BERGEPAINT,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,74
BERGEPAINT,pro,P12,Growing asset base funded by internal accruals reflects self-sustaining growth,69
BERGEPAINT,pro,P4,Revenue growing at above 15% CAGR over 5 years reflects strong business momentum,68
BERGEPAINT,con,C19,Debt-to-equity of 0.54 is manageable but worth monitoring against sector peers,60
BERGEPAINT,con,C20,Operating margin slipped to 17.9% from 25.7% a year earlier,60
BPCL,pro,P8,Consistent dividend yield above 2% backed by positive free cash flow,72
BPCL,con,C13,Return on capital employed at 12.5% is in the moderate range — worth tracking for further improvement,62
